conversation	sent_id	token_id	token	event1	event2	event3	event4	event5
1	1	1	How	O	O	O	O	O
1	1	2	was	O	O	O	O	O
1	1	3	your	O	O	O	O	O
1	1	4	day	O	O	O	O	O
1	1	5	today	O	O	O	O	O
1	1	6	?	O	O	O	O	O
1	1	7	Have	O	O	O	O	O
1	1	8	you	O	O	O	O	O
1	1	9	been	O	O	O	O	O
1	1	10	out	O	O	O	O	O
1	1	11	for	O	O	O	O	O
1	1	12	a	O	O	O	O	O
1	1	13	walk	O	O	O	O	O
1	1	14	?	O	O	O	O	O
1	2	1	Yes	O	O	O	O	O
1	2	2	,	O	O	O	O	O
1	2	3	I	O	O	O	O	O
1	2	4	did	O	O	O	O	O
1	2	5	.	O	O	O	O	O
1	2	6	I	O	O	O	O	O
1	2	7	took	B-event	O	O	O	O
1	2	8	a	I-event	O	O	O	O
1	2	9	walk	I-event	O	O	O	O
1	2	10	in	B-time	O	O	O	O
1	2	11	the	I-time	O	O	O	O
1	2	12	morning	I-time	O	O	O	O
1	2	13	in	I-place	O	O	O	O
1	2	14	the	I-place	O	O	O	O
1	2	15	garden	I-place	O	O	O	O
1	2	16	.	O	O	O	O	O
1	3	1	That	O	O	O	O	O
1	3	2	's	O	O	O	O	O
1	3	3	great	O	O	O	O	O
1	3	4	to	O	O	O	O	O
1	3	5	hear	O	O	O	O	O
1	3	6	!	O	O	O	O	O
1	3	7	How	O	O	O	O	O
1	3	8	do	O	O	O	O	O
1	3	9	you	O	O	O	O	O
1	3	10	usually	O	O	O	O	O
1	3	11	get	O	O	O	O	O
1	3	12	up	O	O	O	O	O
1	3	13	from	O	O	O	O	O
1	3	14	the	O	O	O	O	O
1	3	15	chair	O	O	O	O	O
1	3	16	before	O	O	O	O	O
1	3	17	going	O	O	O	O	O
1	3	18	for	O	O	O	O	O
1	3	19	a	O	O	O	O	O
1	3	20	walk	O	O	O	O	O
1	3	21	?	O	O	O	O	O
1	4	1	I	O	O	O	O	O
1	4	2	push	O	O	O	O	O
1	4	3	up	O	O	O	O	O
1	4	4	from	O	O	O	O	O
1	4	5	the	O	O	O	O	O
1	4	6	armrests	O	O	O	O	O
1	4	7	to	O	O	O	O	O
1	4	8	stand	O	O	O	O	O
1	4	9	slowly	O	O	O	O	O
1	4	10	.	O	O	O	O	O
1	5	1	And	O	O	O	O	O
1	5	2	how	O	O	O	O	O
1	5	3	do	O	O	O	O	O
1	5	4	you	O	O	O	O	O
1	5	5	usually	O	O	O	O	O
1	5	6	handle	O	O	O	O	O
1	5	7	getting	O	O	O	O	O
1	5	8	into	O	O	O	O	O
1	5	9	bed	O	O	O	O	O
1	5	10	at	O	O	O	O	O
1	5	11	night	O	O	O	O	O
1	5	12	?	O	O	O	O	O
1	6	1	I	O	O	O	O	O
1	6	2	sit	O	O	O	O	O
1	6	3	on	O	O	O	O	O
1	6	4	the	O	O	O	O	O
1	6	5	edge	O	O	O	O	O
1	6	6	of	O	O	O	O	O
1	6	7	my	O	O	O	O	O
1	6	8	bed	O	O	O	O	O
1	6	9	and	O	O	O	O	O
1	6	10	gradually	O	O	O	O	O
1	6	11	shift	O	O	O	O	O
1	6	12	my	O	O	O	O	O
1	6	13	weight	O	O	O	O	O
1	6	14	to	O	O	O	O	O
1	6	15	lie	O	O	O	O	O
1	6	16	down	O	O	O	O	O
1	6	17	.	O	O	O	O	O
1	7	1	It	O	O	O	O	O
1	7	2	's	O	O	O	O	O
1	7	3	important	O	O	O	O	O
1	7	4	to	O	O	O	O	O
1	7	5	take	O	O	O	O	O
1	7	6	your	O	O	O	O	O
1	7	7	time	O	O	O	O	O
1	7	8	.	O	O	O	O	O
1	7	9	How	O	O	O	O	O
1	7	10	is	O	O	O	O	O
1	7	11	it	O	O	O	O	O
1	7	12	when	O	O	O	O	O
1	7	13	you	O	O	O	O	O
1	7	14	need	O	O	O	O	O
1	7	15	to	O	O	O	O	O
1	7	16	kneel	O	O	O	O	O
1	7	17	or	O	O	O	O	O
1	7	18	squat	O	O	O	O	O
1	7	19	down	O	O	O	O	O
1	7	20	?	O	O	O	O	O
1	8	1	I	O	O	O	O	O
1	8	2	hold	O	O	O	O	O
1	8	3	onto	O	O	O	O	O
1	8	4	a	O	O	O	O	O
1	8	5	sturdy	O	O	O	O	O
