conversation	sent_id	token_id	token	event1	event2	event3	event4	event5
1	1	1	When	O	O	O	O	O
1	1	2	do	O	O	O	O	O
1	1	3	you	O	O	O	O	O
1	1	4	usually	O	O	O	O	O
1	1	5	go	O	O	O	O	O
1	1	6	for	O	O	O	O	O
1	1	7	a	O	O	O	O	O
1	1	8	walk	B-event	O	O	O	O
1	1	9	each	O	O	O	O	O
1	1	10	day	O	O	O	O	O
1	1	11	?	O	O	O	O	O
1	2	1	I	O	O	O	O	O
1	2	2	usually	O	O	O	O	O
1	2	3	go	O	O	O	O	O
1	2	4	for	O	O	O	O	O
1	2	5	a	O	O	O	O	O
1	2	6	walk	O	O	O	O	O
1	2	7	in	O	O	O	O	O
1	2	8	the	O	O	O	O	O
1	2	9	park	B-place	O	O	O	O
1	2	10	every	O	O	O	O	O
1	2	11	morning	B-time	O	O	O	O
1	2	12	.	O	O	O	O	O
1	3	1	Oh	O	O	O	O	O
1	3	2	,	O	O	O	O	O
1	3	3	that	O	O	O	O	O
1	3	4	sounds	O	O	O	O	O
1	3	5	nice	O	O	O	O	O
1	3	6	.	O	O	O	O	O
1	3	7	How	O	O	O	O	O
1	3	8	do	O	O	O	O	O
1	3	9	you	O	O	O	O	O
1	3	10	feel	O	O	O	O	O
1	3	11	during	O	O	O	O	O
1	3	12	your	O	O	O	O	O
1	3	13	walks	O	O	O	O	O
1	3	14	?	O	O	O	O	O
1	4	1	I	O	O	O	O	O
1	4	2	feel	O	O	O	O	O
1	4	3	energized	O	O	O	O	O
1	4	4	and	O	O	O	O	O
1	4	5	refreshed	O	O	O	O	O
1	4	6	after	O	O	O	O	O
1	4	7	walking	O	O	O	O	O
1	4	8	for	O	O	O	O	O
1	4	9	some	O	O	O	O	O
1	4	10	time	O	O	O	O	O
1	4	11	.	O	O	O	O	O
1	5	1	It	O	O	O	O	O
1	5	2	's	O	O	O	O	O
1	5	3	good	O	O	O	O	O
1	5	4	that	O	O	O	O	O
1	5	5	you	O	O	O	O	O
1	5	6	stay	O	O	O	O	O
1	5	7	active	O	O	O	O	O
1	5	8	.	O	O	O	O	O
1	5	9	Do	O	O	O	O	O
1	5	10	you	O	O	O	O	O
1	5	11	face	O	O	O	O	O
1	5	12	any	O	O	O	O	O
1	5	13	challenges	O	O	O	O	O
1	5	14	while	O	O	O	O	O
1	5	15	walking	O	O	O	O	O
1	5	16	in	O	O	O	O	O
1	5	17	the	O	O	O	O	O
1	5	18	park	O	O	O	O	O
1	5	19	?	O	O	O	O	O
1	6	1	Sometimes	O	O	O	O	O
1	6	2	I	O	O	O	O	O
1	6	3	find	O	O	O	O	O
1	6	4	it	O	O	O	O	O
1	6	5	tough	O	O	O	O	O
1	6	6	to	O	O	O	O	O
1	6	7	walk	O	O	O	O	O
1	6	8	up	O	O	O	O	O
1	6	9	the	O	O	O	O	O
1	6	10	hill	O	O	O	O	O
1	6	11	,	O	O	O	O	O
1	6	12	but	O	O	O	O	O
1	6	13	I	O	O	O	O	O
1	6	14	take	O	O	O	O	O
1	6	15	it	O	O	O	O	O
1	6	16	slow	O	O	O	O	O
1	6	17	.	O	O	O	O	O
1	7	1	Taking	O	O	O	O	O
1	7	2	it	O	O	O	O	O
1	7	3	slow	O	O	O	O	O
1	7	4	is	O	O	O	O	O
1	7	5	important	O	O	O	O	O
1	7	6	for	O	O	O	O	O
1	7	7	your	O	O	O	O	O
1	7	8	safety	O	O	O	O	O
1	7	9	.	O	O	O	O	O
1	7	10	Have	O	O	O	O	O
1	7	11	you	O	O	O	O	O
1	7	12	considered	O	O	O	O	O
1	7	13	using	O	O	O	O	O
1	7	14	a	O	O	O	O	O
1	7	15	walking	O	O	O	O	O
1	7	16	stick	O	O	O	O	O
1	7	17	for	O	O	O	O	O
1	7	18	support	O	O	O	O	O
1	7	19	?	O	O	O	O	O
1	8	1	I	O	O	O	O	O
1	8	2	have	O	O	O	O	O
1	8	3	one	O	O	O	O	O
1	8	4	,	O	O	O	O	O
1	8	5	but	O	O	O	O	O
1	8	6	I	O	O	O	O	O
1	8	7	prefer	O	O	O	O	O
1	8	8	not	O	O	O	O	O
1	8	9	using	O	O	O	O	O
1	8	10	it	O	O	O	O	O
1	8	11	unless	O	O	O	O	O
1	8	12	I	O	O	O	O	O
1	8	13	really	O	O	O	O	O
1	8	14	need	O	O	O	O	O
1	8	15	it	O	O	O	O	O
1	8	16	.	O	O	O	O	O
2	1	1	When	O	O	O	O	O
2	1	2	do	O	O	O	O	O
2	1	3	you	O	O	O	O	O
2	1	4	usually	O	O	O	O	O
2	1	5	go	O	O	O	O	O
2	1	6	for	O	O	O	O	O
2	1	7	a	O	O	O	O	O
2	1	8	walk	O	O	O	O	O
2	1	9	each	O	O	O	O	O
2	1	10	day	O	O	O	O	O
2	1	11	?	O	O	O	O	O
2	2	1	I	O	O	O	O	O
2	2	2	usually	O	O	O	O	O
2	2	3	go	B-event	O	O	O	O
2	2	4	for	I-event	O	O	O	O
2	2	5	a	I-event	O	O	O	O
2	2	6	walk	I-event	O	O	O	O
2	2	7	in	I-event	O	O	O	O
2	2	8	the	I-event	O	O	O	O
2	2	9	morning	I-time	O	O	O	O
2	2	10	after	I-time	O	O	O	O
2	2	11	breakfast	I-time	O	O	O	O
2	2	12	around	O	O	O	O	O
2	2	13	the	B-place	O	O	O	O
2	2	14	neighborhood	I-place	O	O	O	O
2	2	15	.	O	O	O	O	O
2	3	1	How	O	O	O	O	O
2	3	2	about	O	O	O	O	O
2	3	3	going	O	O	O	O	O
2	3	4	up	O	O	O	O	O
2	3	5	and	O	O	O	O	O
2	3	6	down	O	O	O	O	O
2	3	7	the	O	O	O	O	O
2	3	8	stairs	O	O	O	O	O
2	3	9	?	O	O	O	O	O
2	4	1	I	O	O	O	O	O
2	4	2	go	O	B-event	O	O	O
2	4	3	up	O	I-event	O	O	O
2	4	4	and	O	I-event	O	O	O
2	4	5	down	O	I-event	O	O	O
2	4	6	the	O	I-event	O	O	O
2	4	7	stairs	O	I-event	O	O	O
2	4	8	in	O	I-event	O	O	O
2	4	9	the	O	B-time	O	O	O
2	4	10	afternoon	O	I-time	O	O	O
2	4	11	to	O	O	O	O	O
2	4	12	do	O	O	O	O	O
2	4	13	laundry	O	O	O	O	O
2	4	14	in	O	O	O	O	O
2	4	15	the	O	B-place	O	O	O
2	4	16	basement	O	I-place	O	O	O
2	4	17	.	O	O	O	O	O
2	5	1	Do	O	O	O	O	O
2	5	2	you	O	O	O	O	O
2	5	3	find	O	O	O	O	O
2	5	4	stairs	O	O	O	O	O
2	5	5	challenging	O	O	O	O	O
2	5	6	?	O	O	O	O	O
2	6	1	Yes	O	O	O	O	O
2	6	2	,	O	O	O	O	O
2	6	3	I	O	O	O	O	O
2	6	4	find	O	O	O	O	O
2	6	5	descending	O	O	O	O	O
2	6	6	stairs	O	O	O	O	O
2	6	7	more	O	O	O	O	O
2	6	8	challenging	O	O	O	O	O
2	6	9	due	O	O	O	O	O
2	6	10	to	O	O	O	O	O
2	6	11	the	O	O	O	O	O
2	6	12	strain	O	O	O	O	O
2	6	13	on	O	O	O	O	O
2	6	14	my	O	O	O	O	O
2	6	15	knees	O	O	O	O	O
2	6	16	.	O	O	O	O	O
2	7	1	Have	O	O	O	O	O
2	7	2	you	O	O	O	O	O
2	7	3	tried	O	O	O	O	O
2	7	4	using	O	O	O	O	O
2	7	5	a	O	O	O	O	O
2	7	6	walker	O	O	O	O	O
2	7	7	for	O	O	O	O	O
2	7	8	help	O	O	O	O	O
2	7	9	?	O	O	O	O	O
2	8	1	Yes	O	O	O	O	O
2	8	2	,	O	O	O	O	O
2	8	3	I	O	O	O	O	O
2	8	4	use	O	O	B-event	O	O
2	8	5	a	O	O	I-event	O	O
2	8	6	walker	O	O	I-event	O	O
2	8	7	to	O	O	I-event	O	O
2	8	8	navigate	O	O	I-event	O	O
2	8	9	the	O	O	I-event	O	O
2	8	10	stairs	O	O	I-event	O	O
2	8	11	safely	O	O	O	O	O
