conversation	sent_id	token_id	token	event1	event2	event3	event4	event5
1	1	1	What	O	O	O	O	O
1	1	2	do	O	O	O	O	O
1	1	3	you	O	O	O	O	O
1	1	4	usually	O	O	O	O	O
1	1	5	do	O	O	O	O	O
1	1	6	in	O	O	O	O	O
1	1	7	the	O	O	O	O	O
1	1	8	morning	B-time	O	O	O	O
1	1	9	,	O	O	O	O	O
1	1	10	Sheila	O	O	O	O	O
1	1	11	?	O	O	O	O	O
1	2	1	I	O	O	O	O	O
1	2	2	love	O	O	O	O	O
1	2	3	spending	B-event	O	O	O	O
1	2	4	time	I-event	O	O	O	O
1	2	5	in	I-event	O	O	O	O
1	2	6	the	I-event	O	O	O	O
1	2	7	garden	I-event	O	O	O	O
1	2	8	,	O	O	O	O	O
1	2	9	carrying	O	O	O	O	O
1	2	10	the	O	O	O	O	O
1	2	11	hose	O	O	O	O	O
1	2	12	to	O	O	O	O	O
1	2	13	water	O	O	O	O	O
1	2	14	the	O	O	O	O	O
1	2	15	plants	O	O	O	O	O
1	2	16	.	O	O	O	O	O
1	3	1	And	O	O	O	O	O
1	3	2	what	O	O	O	O	O
1	3	3	about	O	O	O	O	O
1	3	4	in	O	O	O	O	O
1	3	5	the	O	B-time	O	O	O
1	3	6	afternoon	O	I-time	O	O	O
1	3	7	?	O	O	O	O	O
1	4	1	I	O	O	O	O	O
1	4	2	like	O	O	O	O	O
1	4	3	to	O	O	O	O	O
1	4	4	take	O	B-event	O	O	O
1	4	5	a	O	I-event	O	O	O
1	4	6	short	O	I-event	O	O	O
1	4	7	walk	O	I-event	O	O	O
1	4	8	to	O	I-event	O	O	O
1	4	9	the	O	I-event	O	O	O
1	4	10	park	O	I-event	O	O	O
1	4	11	with	O	O	O	O	O
1	4	12	my	O	B-participants	O	O	O
1	4	13	little	O	I-participants	O	O	O
1	4	14	dog	O	I-participants	O	O	O
1	4	15	.	O	O	O	O	O
1	5	1	That	O	O	O	O	O
1	5	2	must	O	O	O	O	O
1	5	3	be	O	O	O	O	O
1	5	4	nice	O	O	O	O	O
1	5	5	.	O	O	O	O	O
1	5	6	How	O	O	O	O	O
1	5	7	does	O	O	O	O	O
1	5	8	it	O	O	O	O	O
1	5	9	feel	O	O	O	O	O
1	5	10	to	O	O	O	O	O
1	5	11	walk	O	O	O	O	O
1	5	12	around	O	O	O	O	O
1	5	13	?	O	O	O	O	O
1	6	1	It	O	O	O	O	O
1	6	2	's	O	O	O	O	O
1	6	3	rejuvenating	O	O	O	O	O
1	6	4	,	O	O	O	O	O
1	6	5	I	O	O	O	O	O
1	6	6	feel	O	O	O	O	O
1	6	7	the	O	O	O	O	O
1	6	8	sun	O	O	O	O	O
1	6	9	on	O	O	O	O	O
1	6	10	my	O	O	O	O	O
1	6	11	skin	O	O	O	O	O
1	6	12	and	O	O	O	O	O
1	6	13	the	O	O	O	O	O
1	6	14	breeze	O	O	O	O	O
1	6	15	in	O	O	O	O	O
1	6	16	my	O	O	O	O	O
1	6	17	hair	O	O	O	O	O
1	6	18	.	O	O	O	O	O
1	7	1	Sounds	O	O	O	O	O
1	7	2	lovely	O	O	O	O	O
1	7	3	.	O	O	O	O	O
1	7	4	Do	O	O	O	O	O
1	7	5	you	O	O	O	O	O
1	7	6	do	O	O	O	O	O
1	7	7	any	O	O	O	O	O
