conversation	sent_id	token_id	token	label
1	1	1	When	O
1	1	2	do	O
1	1	3	you	O
1	1	4	usually	O
1	1	5	do	O
1	1	6	your	O
1	1	7	skincare	O
1	1	8	routine	O
1	1	9	?	O
1	2	1	I	O
1	2	2	do	O
1	2	3	it	O
1	2	4	every	O
1	2	5	morning	O
1	2	6	after	O
1	2	7	waking	O
1	2	8	up	O
1	2	9	and	O
1	2	10	every	O
1	2	11	night	O
1	2	12	before	O
1	2	13	sleeping	O
1	2	14	.	O
1	3	1	How	O
1	3	2	about	O
1	3	3	cutting	O
1	3	4	your	O
1	3	5	nails	O
1	3	6	,	O
1	3	7	when	O
1	3	8	do	O
1	3	9	you	O
1	3	10	usually	O
1	3	11	do	O
1	3	12	that	O
1	3	13	?	O
1	4	1	I	O
1	4	2	cut	O
1	4	3	my	O
1	4	4	nails	O
1	4	5	usually	O
1	4	6	in	O
1	4	7	the	O
1	4	8	evening	O
1	4	9	every	O
1	4	10	2	O
1	4	11	weeks	O
1	4	12	.	O
1	5	1	What	O
1	5	2	about	O
1	5	3	brushing	O
1	5	4	your	O
1	5	5	teeth	O
1	5	6	;	O
1	5	7	how	O
1	5	8	often	O
1	5	9	do	O
1	5	10	you	O
1	5	11	do	O
1	5	12	that	O
1	5	13	?	O
1	6	1	I	O
1	6	2	brush	O
1	6	3	my	O
1	6	4	teeth	O
1	6	5	twice	O
1	6	6	a	O
1	6	7	day	O
1	6	8	after	O
1	6	9	breakfast	O
1	6	10	and	O
1	6	11	before	O
1	6	12	going	O
1	6	13	to	O
1	6	14	bed	O
1	6	15	.	O
1	7	1	That	O
1	7	2	's	O
1	7	3	great	O
1	7	4	.	O
1	7	5	How	O
1	7	6	do	O
1	7	7	you	O
1	7	8	take	O
1	7	9	care	O
1	7	10	of	O
1	7	11	your	O
1	7	12	genitals	O
1	7	13	?	O
1	8	1	I	O
1	8	2	take	O
1	8	3	care	O
1	8	4	of	O
1	8	5	my	O
1	8	6	genitals	O
1	8	7	during	O
1	8	8	my	O
1	8	9	shower	O
1	8	10	in	O
1	8	11	the	O
1	8	12	mornings	O
1	8	13	.	O
1	9	1	It	O
1	9	2	sounds	O
1	9	3	like	O
1	9	4	you	O
1	9	5	have	O
1	9	6	a	O
1	9	7	good	O
1	9	8	self	O
1	9	9	-	O
1	9	10	care	O
1	9	11	routine	O
1	9	12	in	O
1	9	13	place	O
