conversation	sent_id	token_id	token
1	1	1	How
1	1	2	was
1	1	3	your
1	1	4	day
1	1	5	,
1	1	6	did
1	1	7	anything
1	1	8	special
1	1	9	happen
1	1	10	at
1	1	11	your
1	1	12	home
1	1	13	?
			
1	2	1	My
1	2	2	granddaughter
1	2	3	visited
1	2	4	today
1	2	5	,
1	2	6	and
1	2	7	we
1	2	8	baked
1	2	9	cookies
1	2	10	together
1	2	11	.
			
1	3	1	That
1	3	2	sounds
1	3	3	lovely
1	3	4	!
1	3	5	When
1	3	6	is
1	3	7	the
1	3	8	last
1	3	9	time
1	3	10	you
1	3	11	baked
1	3	12	together
1	3	13	?
			
1	4	1	It
1	4	2	’s
1	4	3	been
1	4	4	quite
1	4	5	a
1	4	6	while
1	4	7	,
1	4	8	maybe
1	4	9	a
1	4	10	couple
1	4	11	of
1	4	12	months
1	4	13	ago
1	4	14	.
			
1	5	1	It
1	5	2	must
1	5	3	be
1	5	4	nice
1	5	5	spending
1	5	6	time
1	5	7	together
1	5	8	like
1	5	9	that
1	5	10	.
1	5	11	How
1	5	12	did
1	5	13	it
1	5	14	go
1	5	15	?
			
1	6	1	It
1	6	2	was
1	6	3	great
1	6	4	fun
1	6	5	.
1	6	6	She
1	6	7	's
1	6	8	a
1	6	9	natural
1	6	10	chef
1	6	11	and
1	6	12	we
1	6	13	had
1	6	14	a
1	6	15	wonderful
1	6	16	time
1	6	17	.
			
1	7	1	It
1	7	2	must
1	7	3	have
1	7	4	brought
1	7	5	back
1	7	6	memories
1	7	7	of
1	7	8	baking
1	7	9	with
1	7	10	your
1	7	11	own
1	7	12	kids
1	7	13	.
			
1	8	1	Yes
1	8	2	,
1	8	3	it
1	8	4	did
1	8	5	.
1	8	6	I
1	8	7	love
1	8	8	passing
1	8	9	down
1	8	10	our
1	8	11	family
1	8	12	recipes
1	8	13	to
1	8	14	her
1	8	15	.
			
1	9	1	It
1	9	2	's
1	9	3	so
1	9	4	special
1	9	5	to
1	9	6	keep
1	9	7	those
1	9	8	traditions
1	9	9	alive
1	9	10	through
1	9	11	the
1	9	12	generations
1	9	13	.
			
			
2	1	1	How
2	1	2	have
2	1	3	you
2	1	4	been
2	1	5	managing
2	1	6	your
2	1	7	daily
2	1	8	meals
2	1	9	recently
2	1	10	?
			
2	2	1	I
2	2	2	usually
2	2	3	cook
2	2	4	my
2	2	5	meals
2	2	6	in
2	2	7	the
2	2	8	evening
2	2	9	and
2	2	10	heat
2	2	11	them
2	2	12	up
2	2	13	for
2	2	14	lunch
2	2	15	the
2	2	16	next
2	2	17	day
2	2	18	.
			
2	3	1	That
2	3	2	sounds
2	3	3	convenient
2	3	4	!
2	3	5	When
2	3	6	did
2	3	7	you
2	3	8	start
2	3	9	this
2	3	10	routine
2	3	11	?
			
2	4	1	I
2	4	2	've
2	4	3	been
2	4	4	doing
