conversation	sent_id	token_id	token
1	1	1	How
1	1	2	was
1	1	3	your
1	1	4	day
1	1	5	today
1	1	6	?
1	1	7	Have
1	1	8	you
1	1	9	been
1	1	10	out
1	1	11	for
1	1	12	a
1	1	13	walk
1	1	14	?
			
1	2	1	Yes
1	2	2	,
1	2	3	I
1	2	4	did
1	2	5	.
1	2	6	I
1	2	7	took
1	2	8	a
1	2	9	walk
1	2	10	in
1	2	11	the
1	2	12	morning
1	2	13	in
1	2	14	the
1	2	15	garden
1	2	16	.
			
1	3	1	That
1	3	2	's
1	3	3	great
1	3	4	to
1	3	5	hear
1	3	6	!
1	3	7	How
1	3	8	do
1	3	9	you
1	3	10	usually
1	3	11	get
1	3	12	up
1	3	13	from
1	3	14	the
1	3	15	chair
1	3	16	before
1	3	17	going
1	3	18	for
1	3	19	a
1	3	20	walk
1	3	21	?
			
1	4	1	I
1	4	2	push
1	4	3	up
1	4	4	from
1	4	5	the
1	4	6	armrests
1	4	7	to
1	4	8	stand
1	4	9	slowly
1	4	10	.
			
1	5	1	And
1	5	2	how
1	5	3	do
1	5	4	you
1	5	5	usually
1	5	6	handle
1	5	7	getting
1	5	8	into
1	5	9	bed
1	5	10	at
1	5	11	night
1	5	12	?
			
1	6	1	I
1	6	2	sit
1	6	3	on
1	6	4	the
1	6	5	edge
1	6	6	of
1	6	7	my
1	6	8	bed
1	6	9	and
1	6	10	gradually
1	6	11	shift
1	6	12	my
1	6	13	weight
1	6	14	to
1	6	15	lie
1	6	16	down
1	6	17	.
			
1	7	1	It
1	7	2	's
1	7	3	important
1	7	4	to
1	7	5	take
1	7	6	your
1	7	7	time
1	7	8	.
1	7	9	How
1	7	10	is
1	7	11	it
1	7	12	when
1	7	13	you
1	7	14	need
1	7	15	to
1	7	16	kneel
1	7	17	or
1	7	18	squat
1	7	19	down
1	7	20	?
			
1	8	1	I
1	8	2	hold
1	8	3	onto
1	8	4	a
1	8	5	sturdy
1	8	6	support
1	8	7	to
1	8	8	lower
1	8	9	myself
1	8	10	down
1	8	11	safely
1	8	12	.
			
1	9	1	Sounds
1	9	2	like
1	9	3	you
1	9	4	've
1	9	5	established
1	9	6	good
1	9	7	ways
			
			
2	1	1	How
2	1	2	are
2	1	3	you
2	1	4	feeling
2	1	5	today
2	1	6	about
2	1	7	your
2	1	8	daily
2	1	9	routine
2	1	10	?
			
2	2	1	Well
2	2	2	,
2	2	3	I
2	2	4	sometimes
2	2	5	struggle
2	2	6	with
2	2	7	moving
2	2	8	from
2	2	9	my
2	2	10	bed
2	2	11	to
2	2	12	the
2	2	13	living
2	2	14	room
2	2	15	chair
2	2	16	.
			
2	3	1	When
2	3	2	do
2	3	3	you
2	3	4	find
2	3	5	it
2	3	6	most
2	3	7	challenging
2	3	8	to
2	3	9	move
2	3	10	from
2	3	11	your
2	3	12	bed
2	3	13	to
