conversation	sent_id	token_id	token
1	1	1	How
1	1	2	's
1	1	3	your
1	1	4	day
1	1	5	going
1	1	6	,
1	1	7	Ms.
1	1	8	Johnson
1	1	9	?
1	1	10	Anything
1	1	11	interesting
1	1	12	happening
1	1	13	at
1	1	14	home
1	1	15	?
			
1	2	1	Oh
1	2	2	,
1	2	3	I
1	2	4	actually
1	2	5	just
1	2	6	finished
1	2	7	rearranging
1	2	8	my
1	2	9	furniture
1	2	10	in
1	2	11	the
1	2	12	living
1	2	13	room
1	2	14	.
			
1	3	1	When
1	3	2	did
1	3	3	you
1	3	4	find
1	3	5	time
1	3	6	to
1	3	7	do
1	3	8	that
1	3	9	?
1	3	10	Did
1	3	11	you
1	3	12	move
1	3	13	anything
1	3	14	else
1	3	15	around
1	3	16	?
			
1	4	1	I
1	4	2	did
1	4	3	it
1	4	4	earlier
1	4	5	today
1	4	6	.
1	4	7	Just
1	4	8	moved
1	4	9	the
1	4	10	couch
1	4	11	to
1	4	12	the
1	4	13	other
1	4	14	side
1	4	15	of
1	4	16	the
1	4	17	room
1	4	18	.
			
1	5	1	Sounds
1	5	2	like
1	5	3	a
1	5	4	good
1	5	5	change
1	5	6	!
1	5	7	Did
1	5	8	it
1	5	9	take
1	5	10	long
1	5	11	to
1	5	12	complete
1	5	13	the
1	5	14	rearrangement
1	5	15	?
			
1	6	1	Not
1	6	2	really
1	6	3	,
1	6	4	just
1	6	5	an
1	6	6	hour
1	6	7	or
1	6	8	so
1	6	9	.
1	6	10	It
1	6	11	feels
1	6	12	more
1	6	13	spacious
1	6	14	now
1	6	15	.
			
1	7	1	That
1	7	2	's
1	7	3	great
1	7	4	to
1	7	5	hear
1	7	6	your
1	7	7	efforts
1	7	8	paid
1	7	9	off
1	7	10	!
1	7	11	Have
1	7	12	you
1	7	13	thought
1	7	14	about
1	7	15	any
1	7	16	other
1	7	17	changes
1	7	18	around
1	7	19	the
1	7	20	house
1	7	21	?
			
1	8	1	I
1	8	2	might
1	8	3	consider
1	8	4	repainting
1	8	5	the
1	8	6	walls
1	8	7	next
1	8	8	.
			
			
2	1	1	How
2	1	2	's
2	1	3	your
2	1	4	day
2	1	5	been
2	1	6	,
2	1	7	keeping
2	1	8	up
2	1	9	with
2	1	10	everything
2	1	11	at
2	1	12	home
2	1	13	?
			
2	2	1	I
2	2	2	hired
2	2	3	a
2	2	4	carpenter
2	2	5	yesterday
2	2	6	to
2	2	7	fix
2	2	8	the
2	2	9	staircase
2	2	10	that
2	2	11	was
