conversation	sent_id	token_id	token
1	1	1	When
1	1	2	do
1	1	3	you
1	1	4	usually
1	1	5	do
1	1	6	your
1	1	7	skincare
1	1	8	routine
1	1	9	?
			
1	2	1	I
1	2	2	do
1	2	3	it
1	2	4	every
1	2	5	morning
1	2	6	after
1	2	7	waking
1	2	8	up
1	2	9	and
1	2	10	every
1	2	11	night
1	2	12	before
1	2	13	sleeping
1	2	14	.
			
1	3	1	How
1	3	2	about
1	3	3	cutting
1	3	4	your
1	3	5	nails
1	3	6	,
1	3	7	when
1	3	8	do
1	3	9	you
1	3	10	usually
1	3	11	do
1	3	12	that
1	3	13	?
			
1	4	1	I
1	4	2	cut
1	4	3	my
1	4	4	nails
1	4	5	usually
1	4	6	in
1	4	7	the
1	4	8	evening
1	4	9	every
1	4	10	2
1	4	11	weeks
1	4	12	.
			
1	5	1	What
1	5	2	about
1	5	3	brushing
1	5	4	your
1	5	5	teeth
1	5	6	;
1	5	7	how
1	5	8	often
1	5	9	do
1	5	10	you
1	5	11	do
1	5	12	that
1	5	13	?
			
1	6	1	I
1	6	2	brush
1	6	3	my
1	6	4	teeth
1	6	5	twice
1	6	6	a
1	6	7	day
1	6	8	after
1	6	9	breakfast
1	6	10	and
1	6	11	before
1	6	12	going
1	6	13	to
1	6	14	bed
1	6	15	.
			
1	7	1	That
1	7	2	's
1	7	3	great
1	7	4	.
1	7	5	How
1	7	6	do
1	7	7	you
1	7	8	take
1	7	9	care
1	7	10	of
1	7	11	your
1	7	12	genitals
1	7	13	?
			
1	8	1	I
1	8	2	take
1	8	3	care
1	8	4	of
1	8	5	my
1	8	6	genitals
1	8	7	during
1	8	8	my
1	8	9	shower
1	8	10	in
1	8	11	the
1	8	12	mornings
1	8	13	.
			
1	9	1	It
1	9	2	sounds
1	9	3	like
1	9	4	you
1	9	5	have
1	9	6	a
1	9	7	good
1	9	8	self
1	9	9	-
1	9	10	care
1	9	11	routine
1	9	12	in
1	9	13	place
1	9	14	.
1	9	15	Keep
1	9	16	it
1	9	17	up
1	9	18	!
			
			
2	1	1	How
2	1	2	often
2	1	3	do
2	1	4	you
2	1	5	make
2	1	6	time
2	1	7	for
2	1	8	skincare
2	1	9	routine
2	1	10	?
			
2	2	1	I
2	2	2	try
2	2	3	to
2	2	4	do
2	2	5	it
2	2	6	every
2	2	7	morning
2	2	8	and
2	2	9	before
2	2	10	bed
2	2	11	.
			
2	3	1	That
2	3	2	sounds
2	3	3	great
2	3	4	!
2	3	5	How
2	3	6	about
2	3	7	brushing
2	3	8	your
2	3	9	teeth
2	3	10	?
			
2	4	1	Oh
2	4	2	,
2	4	3	I
2	4	4	brush
2	4	5	them
2	4	6	after
2	4	7	every
2	4	8	meal
2	4	9	.
			
2	5	1	How
2	5	2	do
2	5	3	you
2	5	4	ensure
2	5	5	you
2	5	6	stick
2	5	7	to
2	5	8	that
2	5	9	routine
2	5	10	?
			
2	6	1	I
2	6	2	set
2	6	3	reminders
2	6	4	on
2	6	5	my
2	6	6	phone
2	6	7	.
			
2	7	1	Nice
2	7	2	!
2	7	3	What
2	7	4	about
2	7	5	cutting
2	7	6	nails
2	7	7	and
2	7	8	genital
2	7	9	care
2	7	10	?
			
2	8	1	I
2	8	2	trim
2	8	3	my
2	8	4	nails
2	8	5	on
2	8	6	Sundays
2	8	7	and
2	8	8	genital
2	8	9	care
2	8	10	happens
2	8	11	during
2	8	12	my
2	8	13	morning
2	8	14	routine
2	8	15	.
			
2	9	1	It
2	9	2	's
2	9	3	good
2	9	4	to
2	9	5	have
2	9	6	a
2	9	7	consistent
2	9	8	self
2	9	9	-
2	9	10	care
2	9	11	routine
2	9	12	.
			
			
3	1	1	How
3	1	2	do
3	1	3	you
3	1	4	usually
3	1	5	go
3	1	6	about
