conversation	sent_id	token_id	token
1	1	1	What
1	1	2	do
1	1	3	you
1	1	4	usually
1	1	5	do
1	1	6	in
1	1	7	the
1	1	8	morning
1	1	9	,
1	1	10	Sheila
1	1	11	?
			
1	2	1	I
1	2	2	love
1	2	3	spending
1	2	4	time
1	2	5	in
1	2	6	the
1	2	7	garden
1	2	8	,
1	2	9	carrying
1	2	10	the
1	2	11	hose
1	2	12	to
1	2	13	water
1	2	14	the
1	2	15	plants
1	2	16	.
			
1	3	1	And
1	3	2	what
1	3	3	about
1	3	4	in
1	3	5	the
1	3	6	afternoon
1	3	7	?
			
1	4	1	I
1	4	2	like
1	4	3	to
1	4	4	take
1	4	5	a
1	4	6	short
1	4	7	walk
1	4	8	to
1	4	9	the
1	4	10	park
1	4	11	with
1	4	12	my
1	4	13	little
1	4	14	dog
1	4	15	.
			
1	5	1	That
1	5	2	must
1	5	3	be
1	5	4	nice
1	5	5	.
1	5	6	How
1	5	7	does
1	5	8	it
1	5	9	feel
1	5	10	to
1	5	11	walk
1	5	12	around
1	5	13	?
			
1	6	1	It
1	6	2	's
1	6	3	rejuvenating
1	6	4	,
1	6	5	I
1	6	6	feel
1	6	7	the
1	6	8	sun
1	6	9	on
1	6	10	my
1	6	11	skin
1	6	12	and
1	6	13	the
1	6	14	breeze
1	6	15	in
1	6	16	my
1	6	17	hair
1	6	18	.
			
1	7	1	Sounds
1	7	2	lovely
1	7	3	.
1	7	4	Do
1	7	5	you
1	7	6	do
1	7	7	any
1	7	8	evening
1	7	9	activities
1	7	10	before
1	7	11	bed
1	7	12	?
			
1	8	1	Yes
1	8	2	,
1	8	3	I
1	8	4	enjoy
1	8	5	practicing
1	8	6	some
1	8	7	light
1	8	8	stretching
1	8	9	exercises
1	8	10	to
1	8	11	relax
1	8	12	my
1	8	13	muscles
1	8	14	.
			
1	9	1	That
1	9	2	's
1	9	3	a
1	9	4	great
1	9	5	routine
1	9	6	to
1	9	7	end
1	9	8	the
1	9	9	day
1	9	10	.
1	9	11	It
1	9	12	sounds
1	9	13	like
1	9	14	you
1	9	15	keep
1	9	16	yourself
1	9	17	pretty
1	9	18	active
1	9	19	!
			
			
2	1	1	What
2	1	2	part
2	1	3	of
2	1	4	the
2	1	5	day
2	1	6	do
2	1	7	you
2	1	8	typically
2	1	9	enjoy
2	1	10	going
2	1	11	for
2	1	12	a
2	1	13	walk
2	1	14	?
			
2	2	1	In
2	2	2	the
2	2	3	mornings
2	2	4	,
2	2	5	I
2	2	6	take
2	2	7	a
2	2	8	stroll
2	2	9	around
2	2	10	the
2	2	11	garden
2	2	12	for
2	2	13	some
2	2	14	fresh
2	2	15	air
2	2	16	.
			
2	3	1	That
2	3	2	sounds
2	3	3	serene
2	3	4	.
2	3	5	Do
2	3	6	you
2	3	7	require
2	3	8	any
2	3	9	kind
2	3	10	of
2	3	11	assistance
2	3	12	while
2	3	13	walking
2	3	14	?
			
2	4	1	Luckily
2	4	2	,
2	4	3	I
2	4	4	can
2	4	5	manage
2	4	6	on
2	4	7	my
2	4	8	own
2	4	9	for
2	4	10	now
2	4	11	.
			
2	5	1	Do
2	5	2	you
2	5	3	use
2	5	4	any
2	5	5	mobility
2	5	6	aids
2	5	7	during
2	5	8	your
2	5	9	walks
2	5	10	for
2	5	11	extra
2	5	12	support
2	5	13	?
			
2	6	1	Yes
2	6	2	,
2	6	3	I
2	6	4	have
2	6	5	a
2	6	6	trusty
2	6	7	walking
2	6	8	cane
2	6	9	by
2	6	10	my
2	6	11	side
2	6	12	just
2	6	13	in
2	6	14	case
2	6	15	.
			
2	7	1	It
2	7	2	's
2	7	3	good
2	7	4	to
2	7	5	have
2	7	6	that
2	7	7	support
2	7	8	.
2	7	9	Have
2	7	10	you
2	7	11	been
2	7	12	able
2	7	13	to
2	7	14	walk
2	7	15	longer
2	7	16	distances
2	7	17	lately
2	7	18	?
			
2	8	1	I
2	8	2	've
2	8	3	been
2	8	4	trying
2	8	5	to
2	8	6	gradually
2	8	7	increase
2	8	8	my
2	8	9	walking
2	8	10	time
2	8	11	each
2	8	12	day
2	8	13	.
			
2	9	1	That
2	9	2	's
2	9	3	a
2	9	4	great
2	9	5	way
2	9	6	to
2	9	7	improve
2	9	8	your
2	9	9	mobility
2	9	10	.
2	9	11	Keep
2	9	12	up
2	9	13	the
2	9	14	good
2	9	15	work
2	9	16	!
			
			
3	1	1	How
3	1	2	did
3	1	3	your
3	1	4	morning
3	1	5	start
3	1	6	today
3	1	7	?
			
3	2	1	I
3	2	2	woke
3	2	3	up
3	2	4	early
3	2	5	and
3	2	6	managed
3	2	7	to
3	2	8	get
3	2	9	out
3	2	10	of
3	2	11	bed
3	2	12	on
3	2	13	my
3	2	14	own
3	2	15	.
			
3	3	1	That
3	3	2	's
3	3	3	great
3	3	4	to
3	3	5	hear
3	3	6	!
3	3	7	How
3	3	8	do
3	3	9	you
3	3	10	usually
3	3	11	move
3	3	12	around
3	3	13	the
3	3	14	house
3	3	15	?
			
3	4	1	I
3	4	2	use
3	4	3	my
3	4	4	walker
3	4	5	to
3	4	6	move
3	4	7	around
3	4	8	safely
3	4	9	,
3	4	10	especially
3	4	11	in
3	4	12	the
3	4	13	morning
3	4	14	.
			
3	5	1	Do
3	5	2	you
3	5	3	have
3	5	4	any
3	5	5	specific
3	5	6	routines
3	5	7	for
3	5	8	your
3	5	9	exercise
3	5	10	or
3	5	11	mobility
3	5	12	?
			
3	6	1	Yes
3	6	2	,
3	6	3	I
3	6	4	do
3	6	5	some
3	6	6	stretching
3	6	7	exercises
3	6	8	to
3	6	9	help
3	6	10	my
3	6	11	flexibility
3	6	12	.
			
3	7	1	When
3	7	2	do
3	7	3	you
3	7	4	usually
3	7	5	feel
3	7	6	most
3	7	7	independent
3	7	8	during
3	7	9	the
3	7	10	day
3	7	11	?
