conversation	sent_id	token_id	token
1	1	1	Do
1	1	2	you
1	1	3	still
1	1	4	enjoy
1	1	5	your
1	1	6	daily
1	1	7	walks
1	1	8	in
1	1	9	the
1	1	10	park
1	1	11	?
			
1	2	1	Oh
1	2	2	,
1	2	3	I
1	2	4	cherish
1	2	5	my
1	2	6	morning
1	2	7	walks
1	2	8	,
1	2	9	helps
1	2	10	me
1	2	11	stay
1	2	12	active
1	2	13	and
1	2	14	energized
1	2	15	.
			
1	3	1	That
1	3	2	's
1	3	3	wonderful
1	3	4	!
1	3	5	How
1	3	6	do
1	3	7	you
1	3	8	find
1	3	9	getting
1	3	10	around
1	3	11	the
1	3	12	neighborhood
1	3	13	these
1	3	14	days
1	3	15	?
			
1	4	1	With
1	4	2	my
1	4	3	trusty
1	4	4	old
1	4	5	bicycle
1	4	6	,
1	4	7	I
1	4	8	can
1	4	9	move
1	4	10	freely
1	4	11	and
1	4	12	independently
1	4	13	.
			
1	5	1	Impressive
1	5	2	!
1	5	3	When
1	5	4	was
1	5	5	the
1	5	6	last
1	5	7	time
1	5	8	you
1	5	9	went
1	5	10	on
1	5	11	a
1	5	12	trip
1	5	13	farther
1	5	14	away
1	5	15	from
1	5	16	home
1	5	17	?
			
1	6	1	Just
1	6	2	a
1	6	3	few
1	6	4	weeks
1	6	5	ago
1	6	6	,
1	6	7	took
1	6	8	a
1	6	9	lovely
1	6	10	train
1	6	11	ride
1	6	12	to
1	6	13	visit
1	6	14	my
1	6	15	grandkids
1	6	16	.
			
1	7	1	Sounds
1	7	2	like
1	7	3	a
1	7	4	lovely
1	7	5	trip
1	7	6	!
1	7	7	Did
1	7	8	you
1	7	9	have
1	7	10	easy
1	7	11	access
1	7	12	to
1	7	13	the
1	7	14	train
1	7	15	stations
1	7	16	?
			
1	8	1	Yes
1	8	2	,
1	8	3	the
1	8	4	stations
1	8	5	were
1	8	6	well
1	8	7	-
1	8	8	equipped
1	8	9	with
1	8	10	ramps
1	8	11	and
1	8	12	elevators
1	8	13	.
			
1	9	1	That
1	9	2	's
1	9	3	great
1	9	4	to
1	9	5	hear
1	9	6	!
1	9	7	How
1	9	8	do
1	9	9	you
1	9	10	feel
1	9	11	about
			
			
2	1	1	How
2	1	2	was
2	1	3	your
2	1	4	day
2	1	5	today
2	1	6	,
2	1	7	did
2	1	8	you
2	1	9	go
2	1	10	anywhere
2	1	11	interesting
2	1	12	?
			
2	2	1	Actually
2	2	2	,
2	2	3	I
2	2	4	took
2	2	5	a
2	2	6	taxi
2	2	7	to
2	2	8	the
2	2	9	market
2	2	10	to
2	2	11	buy
2	2	12	some
2	2	13	fresh
2	2	14	fruits
2	2	15	.
			
2	3	1	That
2	3	2	sounds
2	3	3	nice
2	3	4	,
2	3	5	how
2	3	6	often
2	3	7	do
2	3	8	you
2	3	9	usually
2	3	10	take
2	3	11	a
2	3	12	taxi
2	3	13	?
			
2	4	1	Only
2	4	2	when
2	4	3	I
2	4	4	need
2	4	5	to
2	4	6	buy
2	4	7	groceries
2	4	8	or
2	4	9	visit
2	4	10	the
2	4	11	doctor
2	4	12	.
			
2	5	1	I
2	5	2	see
2	5	3	.
2	5	4	How
2	5	5	do
2	5	6	you
2	5	7	find
2	5	8	taking
2	5	9	a
2	5	10	taxi
2	5	11	compared
2	5	12	to
2	5	13	taking
2	5	14	a
2	5	15	bus
2	5	16	?
			
2	6	1	Taking
2	6	2	a
2	6	3	taxi
2	6	4	is
2	6	5	more
2	6	6	comfortable
2	6	7	,
2	6	8	but
2	6	9	the
2	6	10	bus
2	6	11	is
2	6	12	more
2	6	13	affordable
2	6	14	.
			
2	7	1	Do
2	7	2	you
2	7	3	ever
2	7	4	travel
2	7	5	by
2	7	6	train
2	7	7	to
2	7	8	visit
2	7	9	family
2	7	10	out
2	7	11	of
2	7	12	town
2	7	13	?
			
2	8	1	Yes
2	8	2	,
2	8	3	occasionally
2	8	4	I
2	8	5	take
2	8	6	the
2	8	7	train
2	8	8	to
2	8	9	visit
2	8	10	my
2	8	11	grandchildren
2	8	12	.
			
2	9	1	That
2	9	2	must
2	9	3	be
2	9	4	nice
2	9	5	to
2	9	6	see
2	9	7	them
2	9	8	.
2	9	9	How
2	9	10	do
2	9	11	you
2	9	12	feel
2	9	13	about
2	9	14	traveling
2	9	15	by
2	9	16	train
2	9	17	?
			
			
3	1	1	How
3	1	2	was
3	1	3	your
3	1	4	day
3	1	5	,
3	1	6	did
3	1	7	you
3	1	8	get
3	1	9	to
3	1	10	go
3	1	11	out
3	1	12	today
3	1	13	?
			
3	2	1	Yes
3	2	2	,
3	2	3	I
3	2	4	went
3	2	5	for
3	2	6	a
3	2	7	walk
3	2	8	in
3	2	9	the
3	2	10	park
3	2	11	this
3	2	12	morning
3	2	13	.
			
3	3	1	That
3	3	2	sounds
3	3	3	nice
3	3	4	.
3	3	5	How
3	3	6	do
3	3	7	you
3	3	8	usually
3	3	9	get
3	3	10	there
3	3	11	?
			
3	4	1	I
3	4	2	usually
3	4	3	take
3	4	4	the
3	4	5	bus
3	4	6	to
3	4	7	the
3	4	8	park
3	4	9	to
3	4	10	enjoy
3	4	11	some
3	4	12	fresh
3	4	13	air
3	4	14	.
			
3	5	1	Do
3	5	2	you
3	5	3	prefer
3	5	4	taking
3	5	5	the
3	5	6	bus
3	5	7	over
3	5	8	other
3	5	9	modes
3	5	10	of
3	5	11	transportation
3	5	12	?
			
3	6	1	Yes
3	6	2	,
3	6	3	the
3	6	4	bus
3	6	5	is
3	6	6	convenient
3	6	7	and
3	6	8	I
3	6	9	enjoy
3	6	10	watching
3	6	11	the
3	6	12	scenery
3	6	13	on
3	6	14	the
3	6	15	way
3	6	16	.
			
3	7	1	How
3	7	2	was
3	7	3	your
3	7	4	ride
3	7	5	back
3	7	6	home
3	7	7	from
3	7	8	the
3	7	9	park
3	7	10	today
3	7	11	?
			
3	8	1	It
3	8	2	was
3	8	3	a
3	8	4	smooth
3	8	5	ride
3	8	6	back
3	8	7	on
3	8	8	the
3	8	9	bus
3	8	10	,
3	8	11	and
3	8	12	I
3	8	13	even
3	8	14	met
3	8	15	a
3	8	16	friendly
3	8	17	neighbor
3	8	18	.
			
			
4	1	1	How
4	1	2	was
4	1	3	your
4	1	4	day
4	1	5	,
4	1	6	anything
4	1	7	interesting
4	1	8	happen
4	1	9	today
4	1	10	?
			
4	2	1	Yes
4	2	2	,
4	2	3	I
4	2	4	went
4	2	5	for
4	2	6	a
4	2	7	walk
4	2	8	in
4	2	9	the
4	2	10	park
4	2	11	with
4	2	12	my
4	2	13	daughter
4	2	14	this
4	2	15	morning
4	2	16	.
			
4	3	1	That
4	3	2	sounds
4	3	3	lovely
4	3	4	!
4	3	5	Did
4	3	6	you
4	3	7	walk
4	3	8	there
4	3	9	or
4	3	10	did
4	3	11	you
4	3	12	need
4	3	13	any
4	3	14	assistance
4	3	15	?
			
4	4	1	I
4	4	2	walked
4	4	3	there
4	4	4	slowly
4	4	5	with
4	4	6	my
4	4	7	cane
4	4	8	,
4	4	9	but
4	4	10	enjoyed
4	4	11	the
4	4	12	fresh
4	4	13	air
4	4	14	.
			
4	5	1	That
4	5	2	's
4	5	3	great
4	5	4	to
4	5	5	hear
4	5	6	.
4	5	7	How
4	5	8	was
4	5	9	the
4	5	10	weather
4	5	11	during
4	5	12	your
4	5	13	walk
4	5	14	in
4	5	15	the
4	5	16	park
4	5	17	?
			
4	6	1	It
4	6	2	was
4	6	3	sunny
4	6	4	but
4	6	5	not
4	6	6	too
4	6	7	hot
4	6	8	,
4	6	9	perfect
