conversation	sent_id	token_id	token
1	1	1	How
1	1	2	often
1	1	3	do
1	1	4	you
1	1	5	water
1	1	6	your
1	1	7	plants
1	1	8	in
1	1	9	the
1	1	10	garden
1	1	11	,
1	1	12	Mrs.
1	1	13	Smith
1	1	14	?
			
1	2	1	Oh
1	2	2	,
1	2	3	I
1	2	4	water
1	2	5	them
1	2	6	twice
1	2	7	a
1	2	8	week
1	2	9	,
1	2	10	on
1	2	11	Mondays
1	2	12	and
1	2	13	Thursdays
1	2	14	.
			
1	3	1	Do
1	3	2	you
1	3	3	enjoy
1	3	4	gardening
1	3	5	and
1	3	6	taking
1	3	7	care
1	3	8	of
1	3	9	plants
1	3	10	?
			
1	4	1	Yes
1	4	2	,
1	4	3	it
1	4	4	's
1	4	5	my
1	4	6	favorite
1	4	7	activity
1	4	8	.
1	4	9	It
1	4	10	keeps
1	4	11	me
1	4	12	active
1	4	13	and
1	4	14	the
1	4	15	plants
1	4	16	make
1	4	17	the
1	4	18	garden
1	4	19	so
1	4	20	lively
1	4	21	.
			
			
2	1	1	How
2	1	2	often
2	1	3	do
2	1	4	you
2	1	5	water
2	1	6	the
2	1	7	plants
2	1	8	in
2	1	9	your
2	1	10	garden
2	1	11	?
			
2	2	1	I
2	2	2	water
2	2	3	them
2	2	4	every
2	2	5	morning
2	2	6	before
2	2	7	breakfast
2	2	8	.
			
2	3	1	Do
2	3	2	you
2	3	3	prefer
2	3	4	to
2	3	5	cook
2	3	6	dinner
2	3	7	for
2	3	8	yourself
2	3	9	or
2	3	10	order
2	3	11	takeout
2	3	12	?
			
2	4	1	I
2	4	2	enjoy
2	4	3	cooking
2	4	4	and
2	4	5	preparing
2	4	6	the
2	4	7	meals
2	4	8	from
2	4	9	scratch
2	4	10	.
			
2	5	1	When
2	5	2	was
2	5	3	the
2	5	4	last
2	5	5	time
2	5	6	you
2	5	7	did
2	5	8	some
2	5	9	home
2	5	10	repairs
2	5	11	?
			
2	6	1	Just
2	6	2	last
2	6	3	week
2	6	4	,
2	6	5	I
2	6	6	fixed
2	6	7	a
2	6	8	leaky
2	6	9	faucet
2	6	10	in
2	6	11	the
2	6	12	bathroom
2	6	13	.
			
2	7	1	How
2	7	2	do
